spelling,dim_type,nmorph,double_checked,dec_criterion
madeliefje,undecided,0,0,unassigned
mannetje,undecided,0,0,unassigned
marsmannetje,undecided,0,0,unassigned
meiklokje,undecided,0,0,unassigned
meisje,undecided,0,0,unassigned
meizoentje,undecided,0,0,unassigned
middagdutje,undecided,0,0,unassigned
mietje,undecided,0,0,unassigned
mobieltje,undecided,0,0,unassigned
mopje,undecided,0,0,unassigned
muiltje,undecided,0,0,unassigned
muntje,undecided,0,0,unassigned
muurbloempje,undecided,0,0,unassigned
muziekje,undecided,0,0,unassigned
naamplaatje,undecided,0,0,unassigned
nachtkastje,undecided,0,0,unassigned
nachtlampje,undecided,0,0,unassigned
nakomertje,undecided,0,0,unassigned
natje,undecided,0,0,unassigned
nietje,undecided,0,0,unassigned
nieuwtje,undecided,0,0,unassigned
nipje,undecided,0,0,unassigned
notitieboekje,undecided,0,0,unassigned
nummertje,undecided,0,0,unassigned
ommetje,undecided,0,0,unassigned
onderonsje,undecided,0,0,unassigned
oordopje,undecided,0,0,unassigned
oortje,undecided,0,0,unassigned
opdondertje,undecided,0,0,unassigned
opstapje,undecided,0,0,unassigned
opstootje,undecided,0,0,unassigned
optrekje,undecided,0,0,unassigned
oudje,undecided,0,0,unassigned
paartje,undecided,0,0,unassigned
pakje,undecided,0,0,unassigned
pantoffeldiertje,undecided,0,0,unassigned
papiertje,undecided,0,0,unassigned
pasje,undecided,0,0,unassigned
pasteitje,undecided,0,0,unassigned
pepermuntje,undecided,0,0,unassigned
pintje,undecided,0,0,unassigned
plaatje,undecided,0,0,unassigned
plakkertje,undecided,0,0,unassigned
pleziertje,undecided,0,0,unassigned
pluisje,undecided,0,0,unassigned
plunje,undecided,0,0,unassigned
poepje,undecided,0,0,unassigned
poesje,undecided,0,0,unassigned
poffertje,undecided,0,0,unassigned
potje,undecided,0,0,unassigned
praatje,undecided,0,0,unassigned
prakje,undecided,0,0,unassigned
presentje,undecided,0,0,unassigned
pretje,undecided,0,0,unassigned
prijsje,undecided,0,0,unassigned
prijskaartje,undecided,0,0,unassigned
prikje,undecided,0,0,unassigned
prikkertje,undecided,0,0,unassigned
puntje,undecided,0,0,unassigned
puzzelstukje,undecided,0,0,unassigned
rapalje,undecided,0,0,unassigned
rekje,undecided,0,0,unassigned
restje,undecided,0,0,unassigned
retourtje,undecided,0,0,unassigned
rietje,undecided,0,0,unassigned
rijmpje,undecided,0,0,unassigned
rijtje,undecided,0,0,unassigned
rolletje,undecided,0,0,unassigned
rondje,undecided,0,0,unassigned
roodborstje,undecided,0,0,unassigned
rotje,undecided,0,0,unassigned
sapje,undecided,0,0,unassigned
saucijsje,undecided,0,0,unassigned
scheermesje,undecided,0,0,unassigned
schepje,undecided,0,0,unassigned
schijfje,undecided,0,0,unassigned
schijntje,undecided,0,0,unassigned
schoelje,undecided,0,0,unassigned
schoolmeisje,undecided,0,0,unassigned
schoteltje,undecided,0,0,unassigned
slaapje,undecided,0,0,unassigned
slaapmutsje,undecided,0,0,unassigned
slabbetje,undecided,0,0,unassigned
slipje,undecided,0,0,unassigned
slippertje,undecided,0,0,unassigned
sneeuwklokje,undecided,0,0,unassigned
snoepje,undecided,0,0,unassigned
snoepreisje,undecided,0,0,unassigned
snufje,undecided,0,0,unassigned
snuifje,undecided,0,0,unassigned
spaarboekje,undecided,0,0,unassigned
speeltje,undecided,0,0,unassigned
spelletje,undecided,0,0,unassigned
spiegeltje,undecided,0,0,unassigned
spiekbriefje,undecided,0,0,unassigned
spionnetje,undecided,0,0,unassigned
spiraaltje,undecided,0,0,unassigned
spoorboekje,undecided,0,0,unassigned
sprietje,undecided,0,0,unassigned
sprookje,undecided,0,0,unassigned
spuitje,undecided,0,0,unassigned
staaltje,undecided,0,0,unassigned
stalletje,undecided,0,0,unassigned
standje,undecided,0,0,unassigned
steentje,undecided,0,0,unassigned
stelletje,undecided,0,0,unassigned
sterretje,undecided,0,0,unassigned
steuntje,undecided,0,0,unassigned
stokpaardje,undecided,0,0,unassigned
strijkje,undecided,0,0,unassigned
strikje,undecided,0,0,unassigned
strontje,undecided,0,0,unassigned
suikerklontje,undecided,0,0,unassigned
taartje,undecided,0,0,unassigned
tasje,undecided,0,0,unassigned
telefoontje,undecided,0,0,unassigned
theekopje,undecided,0,0,unassigned
theekransje,undecided,0,0,unassigned
theezakje,undecided,0,0,unassigned
tienermeisje,undecided,0,0,unassigned
tientje,undecided,0,0,unassigned
tikje,undecided,0,0,unassigned
tikkertje,undecided,0,0,unassigned
tochtje,undecided,0,0,unassigned
toemaatje,undecided,0,0,unassigned
toetje,undecided,0,0,unassigned
toontje,undecided,0,0,unassigned
topje,undecided,0,0,unassigned
toverstokje,undecided,0,0,unassigned
treinkaartje,undecided,0,0,unassigned
trekje,undecided,0,0,unassigned
trouwboekje,undecided,0,0,unassigned
tuigje,undecided,0,0,unassigned
tukje,undecided,0,0,unassigned
tussendoortje,undecided,0,0,unassigned
tutje,undecided,0,0,unassigned
twaalfuurtje,undecided,0,0,unassigned
uitje,undecided,0,0,unassigned
uitstapje,undecided,0,0,unassigned
uitstrijkje,undecided,0,0,unassigned
vaantje,undecided,0,0,unassigned
versje,undecided,0,0,unassigned
verstoppertje,undecided,0,0,unassigned
verzetje,undecided,0,0,unassigned
vieruurtje,undecided,0,0,unassigned
vijfje,undecided,0,0,unassigned
viltje,undecided,0,0,unassigned
viooltje,undecided,0,0,unassigned
vleugje,undecided,0,0,unassigned
vloeitje,undecided,0,0,unassigned
vluggertje,undecided,0,0,unassigned
vogelhuisje,undecided,0,0,unassigned
voorafje,undecided,0,0,unassigned
voorproefje,undecided,0,0,unassigned
vuiltje,undecided,0,0,unassigned
vuurtje,undecided,0,0,unassigned
washandje,undecided,0,0,unassigned
watje,undecided,0,0,unassigned
weetje,undecided,0,0,unassigned
wentelteefje,undecided,0,0,unassigned
werkje,undecided,0,0,unassigned
werkplunje,undecided,0,0,unassigned
wijfje,undecided,0,0,unassigned
wijsje,undecided,0,0,unassigned
wilgenroosje,undecided,0,0,unassigned
wissewasje,undecided,0,0,unassigned
wolletje,undecided,0,0,unassigned
zaadje,undecided,0,0,unassigned
zakcentje,undecided,0,0,unassigned
zeepaardje,undecided,0,0,unassigned
zegje,undecided,0,0,unassigned
zitje,undecided,0,0,unassigned
zoekertje,undecided,0,0,unassigned
zoetje,undecided,0,0,unassigned
zoutje,undecided,0,0,unassigned
zuurtje,undecided,0,0,unassigned
zwavelstokje,undecided,0,0,unassigned
afleggertje,undecided,0,0,unassigned
akkevietje,undecided,0,0,unassigned
beetje,undecided,0,0,unassigned
bloedplaatje,undecided,0,0,unassigned
buitenbeentje,undecided,0,0,unassigned
dropje,undecided,0,0,unassigned
inlegkruisje,undecided,0,0,unassigned
lotje,undecided,0,0,unassigned
rubbertje,undecided,0,0,unassigned
schuimpje,undecided,0,0,unassigned
slaghoedje,undecided,0,0,unassigned
stofje,undecided,0,0,unassigned
uiltje,undecided,0,0,unassigned
velletje,undecided,0,0,unassigned
